=== t18_belief_cut  35 mm  4.0 s  96 frames at 24 fps  482482 returns ===
    machine: hero surveyor/default skin=player wear=0.35 dmg=0.00 clip=walk
  frame     t_s      x       y       z    step_mm   focus_m   belief_t
     77   3.242   46.48    1.41   23.66       5.9     8.00     19.74
     78   3.284   46.49    1.41   23.67       5.4     8.00     19.78
     79   3.326   46.49    1.41   23.67       5.0     8.00     19.83
     80   3.368   46.49    1.41   23.68       4.5     8.00     19.87
     81   3.411   46.49    1.41   23.68       4.0     8.00     19.91
     82   3.453   46.49    1.41   23.69       3.6     8.00     19.95
     83   3.495   46.50    1.41   23.69       3.1     8.00     19.99
     84   3.537   46.50    1.41   23.69       2.7     8.00     20.04
     85   3.579   46.50    1.41   23.69       2.3     8.00     20.08
     86   3.621   46.50    1.41   23.69       2.0     8.00     20.12
     87   3.663   46.50    1.41   23.70       1.6     8.00     20.16
     88   3.705   46.50    1.41   23.70       1.3     8.00     20.21
     89   3.747   46.50    1.41   23.70       1.0     8.00     20.25
     90   3.789   46.50    1.41   23.70       0.7     8.00     20.29
     91   3.832   46.50    1.41   23.70       0.5     8.00     20.33
     92   3.874   46.50    1.41   23.70       0.3     8.00     20.37
     93   3.916   46.50    1.41   23.70       0.2     8.00     20.42
     94   3.958   46.50    1.41   23.70       0.1     8.00     20.46
     95   4.000   46.50    1.41   23.70       0.0     8.00     20.50
    96 frames in 17.5 s = 0.18 s/frame

=== t26_the_fold  21 mm  4.0 s  96 frames at 24 fps  1442474 returns ===
    machine: no machine block -- the project's default placement
  frame     t_s      x       y       z    step_mm   focus_m   belief_t
      0   0.000   49.20   36.00   22.00       0.0    36.00     60.39
      1   0.042   49.20   36.00   22.00       0.0    36.00     60.42
      2   0.084   49.20   36.00   22.00       0.1    36.00     60.45
      3   0.126   49.20   36.00   22.00       0.3    36.00     60.48
      4   0.168   49.20   36.00   22.00       0.6    36.00     60.51
